PINGS,OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,Shape_STArea__,Shape_STLength__,ShapeSTArea,ShapeSTLength,PARK_ID,REGION,sum
6,841,Parker Hilltop,Private,A97/CR,6,Jamaica Plain,1.58002668, ,Institutional District,Urban Wilds & Natural Areas,BCC,Private+BPRD,X,X,The Meadow,,0,0,73818.63477,1153.832022,NA,PARK_Maintenance_Region 3,6
6,858,King School Park,BRA, ,3,Roxbury,0.82,110-122 Intervale St,Open Space District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,X, ,,0,0,35736.26611,868.3369386,NA,PARK_Maintenance_Region 5,6
6,912,Jefferson Playground,City of Boston,A97,3,Jamaica Plain,3.29588256,Opposite 200 Heath Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,148127.9434,1718.30815,NA,PARK_Maintenance_Region 3,6
6,978,Savin Hill Park,City of Boston,A97,3,Dorchester,8.29468216,Opposite 124 Grampian Way,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,361100.1545,2665.610799,NA,PARK_Maintenance_Region 2,6
5,44,Louisburg Square,Private, ,1,Back Bay/Beacon Hill,0.32409576, ,Residential District,"Malls, Squares & Plazas",NULL, ,N,N, ,,0,0,14117.86157,596.0684784,NA,INFO_Reallocation From Dept,5
5,49,Somerset Street Plaza,Commonwealth of Massachusetts, ,1,Back Bay/Beacon Hill,0.93030039, ,Special District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,29558.61206,854.7776967,NA,INFO_Reallocation From Dept,5
5,94,Bennington Street Cemetery,City of Boston,Ch114S7/A97,4,East Boston,3.58974149,Opposite 490 Bennington Str.,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,A, ,,0,0,156371.9194,1595.048628,NA,PARK_Cemetery Maintenance Request,5
5,211,Msgr. John Roussin Park,City of Boston,A97,3,Roxbury,0.3170537,345 Walnut Ave.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,"Father Jack Play Area, Walnut Street Play Area",,0,0,13926.25244,460.822956,NA,PARK_Maintenance_Region 5,5
5,234,The Food Project Lot #1A,City of Boston, ,5,Roxbury,0.41,37-43 Langdon Street,Residential District,Community Gardens,NULL, ,N, , ,,0,0,18009.21582,956.0608159,NA,INFO_Reallocation From Dept,5
5,253,Wellesley Park,City of Boston,A97,3,Dorchester,0.71338629,29 Wellesley Park,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,31075.66089,922.1171971,NA,PARK_Maintenance_Region 2,5
5,369,Harcourt/West Canton Garden,MBTA,A97,5,Back Bay/Beacon Hill,0.05094606, ,Open Space District,Community Gardens,NULL,DCR,N, , ,,0,0,3410.99585,262.951443,NA,PARK_Maintenance_Ground Maintenance,5
5,502,Neponset River Corridor,Private, ,6,Hyde Park,1.1875683, ,Residential District,Urban Wilds & Natural Areas,NULL, ,N, , ,,0,0,51731.34424,1175.484521,NA,INFO_Reallocation From Dept,5
5,529,Our Garden,City of Boston, ,5,East Boston,0.34129706, ,Residential District,Community Gardens,NULL, ,N,X, ,BPS,0,0,9191.275391,422.7163314,NA,INFO_Reallocation From Dept,5
5,539,Warren Gardens Community Garden,Community Group/Nonprofit, ,5,Roxbury,0.25898998, ,Residential District,Community Gardens,NULL, ,N, , ,,0,0,11281.81226,492.4058415,NA,INFO_Reallocation From Dept,5
5,681,Shirley-Eustis House Grounds,Private, ,3,Roxbury,1.3,33 Shirley Street,Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,X, ,,0,0,56708.72266,2170.5903,NA,INFO_Reallocation From Dept,5
5,759,Joe's American Harborwalk,Private,Ch91/WPA,1,Central Boston,0.05,98-104 Atlantic Avenue,Special District,"Malls, Squares & Plazas",NULL,Private,N,X, ,,0,0,1899.012939,344.1256725,NA,INFO_Reallocation From Dept,5
5,796,BU Yard,Private,,3,Fenway/Kenmore,0.18,,Residential District,"Parks, Playgrounds & Athletic Fields",,,N,N,,,0,0,7986.964111,382.2769422,NA,INFO_Reallocation From Dept,5
5,815,Tremlett Square,City of Boston,A97,1,Dorchester,0.16,Tremlett Street btwn Waldeck and Hooper Sts (at Waldeck end),Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Town Meeting Park,BPRD,0,0,6886.379639,639.4201342,NA,PARK_Maintenance_Region 2,5
5,859,Children's Park,City of Boston,A97,3,Roxbury,0.19,81-85 Intervale St,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,8435.740234,368.1804162,NA,PARK_Maintenance_Region 5,5
5,885,Mission Main Longwood Gate,BHA,,1,Mission Hill,0.11,"Longwood Avenue, St Alphonsus St, McGreevey Way",Residential District,"Malls, Squares & Plazas",,BHA,N,X,McGreevey Mall,BHA,0,0,4928.296143,310.670423,NA,INFO_Reallocation From Dept,5
5,911,Nira Rock,City of Boston,A97,6,Jamaica Plain,1.37, ,Open Space District,Urban Wilds & Natural Areas,BPRD, ,X,X, ,,0,0,63055.81128,1144.555765,NA,PARK_Maintenance_Ground Maintenance,5
5,988,McLean Playground,City of Boston,A97,3,East Boston,0.42966509,Between Bennington & Saratoga St.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,18602.0874,547.9605569,NA,PARK_Maintenance_Region 1,5
4,29,Meetinghouse Hill Overlook,City of Boston, ,6,Dorchester,0.40922366, ,Residential District,Urban Wilds & Natural Areas,NULL, ,N,N, ,,0,0,14713.44922,760.8825696,NA,PARK_Maintenance_Ground Maintenance,4
4,76,John Harvard Mall,City of Boston,A97,1,Charlestown,0.82977059, ,Residential District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,36145.45044,934.5504796,NA,PARK_Maintenance_Region 1,4
4,126,Long Island,City of Boston,Ch91/WPA,2,Harbor Islands,225.1856664, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",NULL, ,N,X, ,,0,0,9809262.016,20824.59346,NA,INFO_Reallocation From Dept,4
4,139,Euclid Street,Private,WPA,7,Hyde Park,3.84836232, ,Industrial District,Urban Wilds & Natural Areas,NULL, ,N, ,Neponset Field,,0,0,167637.6433,2010.745204,NA,INFO_Reallocation From Dept,4
4,143,Moynihan Playground,Commonwealth of Massachusetts,A97,3,Hyde Park,7.18571325, ,Residential District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, ,,0,0,313015.2349,2601.677609,NA,INFO_Reallocation From Dept,4
4,256,Rev. Loesch Family Park,City of Boston,A97,3,Dorchester,2.25259606,Opposite 21 Wainwright Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Cronin/Wainwright Park,,0,0,98078.55444,1250.417888,NA,PARK_Maintenance_Region 2,4
4,259,Dorchester South Burying Ground,City of Boston,Ch114S7/A97,4,Dorchester,1.94260591,Opposite 2096 Dorchester Ave.,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X, ,,0,0,84621.41895,1264.469344,NA,PARK_Cemetery Maintenance Request,4
4,344,Catholic Memorial H.S. Athltc Fld,Private, ,3,West Roxbury,7.26006285, ,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,316253.9993,2609.819171,NA,INFO_Reallocation From Dept,4
4,351,Lucy Stone Schoolyard,City of Boston, ,3,Dorchester,0.78345732, ,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,X, ,,0,0,34128.00708,1512.691079,NA,INFO_Reallocation From Dept,4
4,454,Dry Dock Plaza,BRA, ,1,South Boston,0.24, ,Industrial District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,10368.47852,877.307686,NA,INFO_Reallocation From Dept,4
4,480,Harvard Tract I,Private,100/GPOD,3,Jamaica Plain,5.03376834, ,Conservation Protection Subdistrict,"Parks, Playgrounds & Athletic Fields",NULL,Private,N,X,Dana Greenhouses (Arnold Arboretum),,0,0,222467.8333,2195.599895,NA,INFO_Reallocation From Dept,4
4,508,Northhampton St Community Garden,Community Group/Nonprofit,Land Trust,5,South End,0.22024522, ,Open Space District,Community Gardens,BNAN, ,N, , ,,0,0,9594.05249,393.3102603,NA,PARK_Maintenance_Ground Maintenance,4
4,510,Harvard Business School Athltc Flds,Private, ,3,Allston-Brighton,0.56528814, ,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,24624.41919,671.410409,NA,INFO_Reallocation From Dept,4
4,601,Mattahunt Schoolyard,City of Boston, ,3,Mattapan,3.31, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL,BPS,N,X, ,BPS,0,0,143364.2664,2528.807345,NA,INFO_Reallocation From Dept,4
4,638,Egleston Plaza I,City of Boston,A97,1,Roxbury,0.08, ,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL,DND,N,X, ,DND,0,0,3336.370605,253.3017995,NA,PARK_Maintenance_Region 3,4
4,640,Hunt Playground II,City of Boston, ,3,Mattapan,0.15, ,Open Space & Residential Districts,"Parks, Playgrounds & Athletic Fields",NULL,BPRD,N,X,Almont Park II,PWD,0,0,8118.843262,598.0708655,NA,PARK_Maintenance_Ground Maintenance,4
4,654,Belle Isle Inlet Buffer I,MBTA, ,6,East Boston,5.04,1240 Bennington Street,Special District,Urban Wilds & Natural Areas,NULL, ,N, , ,,0,0,224609.3926,4284.548817,NA,INFO_Reallocation From Dept,4
4,704,Agassiz Road,Commonwealth of Massachusetts,A97/WPA,2,Fenway/Kenmore,0.6,Agassiz Road,Open Space District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,Back Bay Fens,,0,0,26312.10498,3227.681194,NA,INFO_Reallocation From Dept,4
4,725,Reserved Channel Harborwalk,Private,Ch91,1,South Boston,3.19, ,Industrial District,"Malls, Squares & Plazas",NULL,Private,N,X, ,,0,0,138746.9526,4921.161312,NA,INFO_Reallocation From Dept,4
4,740,Pendergast Entrance,Private, ,6,Mattapan,1.03,1000 Harvard Street,Residential District,Urban Wilds & Natural Areas,NULL,n/a,N, , ,n/a,0,0,44973.8418,1298.866922,NA,INFO_Reallocation From Dept,4
4,811,Portsmouth Street Playground,City of Boston,A97,3,Allston-Brighton,4.2823461,35 Portsmouth Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,185610.0876,1913.388791,NA,PARK_Maintenance_Region 4,4
4,954,Neponset River Reservation II,MBTA, ,2,Dorchester,0.78,,Open Space District,"Parkways, Reservations & Beaches",NULL,DCR,N,X,"Neponset River Greenway, Lower Neponset River Trail",MBTA,0,0,34133.1814,1471.461565,NA,INFO_Reallocation From Dept,4
4,966,West Roxbury Quarry,Private, ,6,West Roxbury,60.17, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,NULL, ,N, ,Waverly Road,,0,0,2620879.041,8298.74237,NA,INFO_Reallocation From Dept,4
3,53,Foster Street Play Area,City of Boston,A97,3,Central Boston,0.10503572, ,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,4686.06958,298.4072573,NA,PARK_Maintenance_Region 1,3
3,85,Phipp's Street Burying Ground,City of Boston,Ch114S7/A97,4,Charlestown,1.7478712, ,Residential District,Cemeteries & Burying Grounds,BPRD, ,X,A, ,,0,0,74996.573,1071.119256,NA,PARK_Maintenance_Ground Maintenance,3
3,99,Brophy Park,City of Boston,A97,3,East Boston,0.77383094,Opposite 195 Webster Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Belmont Square,,0,0,34084.66748,773.8729627,NA,PARK_Maintenance_Region 1,3
3,101,Joe Ciampa Garden,BNAN,Land Trust,5,East Boston,0.22171011, ,Open Space District,Community Gardens,NULL, ,N, ,Marginal St. Gdns,,0,0,9784.936279,397.5641387,NA,PARK_Maintenance_Ground Maintenance,3
3,284,Bullard Street Garden,Community Group/Nonprofit,Land Trust,5,Dorchester,0.09183434, ,Residential District,Community Gardens,Boston Urban Gardeners, ,N, , ,,0,0,4000.374512,278.0150884,NA,INFO_Reallocation From Dept,3
3,313,Wellington Green,Community Group/Nonprofit,Land Trust,5,South End,0.04605808, ,Open Space District,Community Gardens,BNAN, ,N, , ,,0,0,2369.753418,238.3420425,NA,PARK_Maintenance_Ground Maintenance,3
3,319,Rutland Square,City of Boston,A97,1,South End,0.15580724, ,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X, ,BPRD,0,0,6787.083496,923.5242938,NA,PARK_Maintenance_Region 6,3
3,343,West Roxbury H.S. Athletic Fields,City of Boston, ,3,West Roxbury,13.42,Off VFW Pkwy,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL,BPRD,N,X, ,,0,0,584754.0973,4350.468984,NA,PARK_Maintenance_Region 4,3
3,391,Victory Road Park,Commonwealth of Massachusetts,A97,2,Dorchester,6.15465743, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,268101.6462,3019.54857,NA,INFO_Reallocation From Dept,3
3,541,13th Street Circle Garden,City of Boston, ,5,Charlestown,0.05871058, ,Special District,Community Gardens,NULL, ,N,N, ,,0,0,2557.480957,182.589344,NA,INFO_Reallocation From Dept,3
3,576,Pemberton Square Access,City of Boston, ,1,Central Boston,0.13, ,Special District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,5505.281982,440.0718172,NA,PARK_Maintenance_Ground Maintenance,3
3,593,St. Elizabeth's Hospital Campus,Private, ,1,Allston-Brighton,4.86, ,Conservation Protection Subdistrict,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,211857.2151,2395.392019,NA,INFO_Reallocation From Dept,3
3,689,Pier Four Harborwalk,Private,Ch91/WPA,1,South Boston,0.09,130 Northern Avenue,Special District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,3847.625244,384.2488749,NA,INFO_Reallocation From Dept,3
3,702,Kennedy Family Service Cntr Playlot,Private, ,3,Charlestown,0.2,35 Vine Street,Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, ,Vine Street Playlot,,0,0,8713.345703,374.9593135,NA,INFO_Reallocation From Dept,3
3,823,Judge Street,Private, ,6,Jamaica Plain,0.14697678, ,Residential District,Urban Wilds & Natural Areas,NULL, ,N, , ,,0,0,6538.158447,323.3998139,NA,PARK_Maintenance_Ground Maintenance,3
3,837,ICA Pier Walk,Private, ,1,South Boston,0.29,100 Northern Avenue,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,12746.93994,1000.175857,NA,INFO_Reallocation From Dept,3
3,896,Charlestown Naval Shipyard Park II,Private,A97/LWCF/Ch91/W,3,Charlestown,0.85580779, ,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,X,Shipyard Park,,0,0,32836.65088,836.9682491,NA,INFO_Reallocation From Dept,3
3,922,Hernandez Schoolyard,City of Boston,,3,Jamaica Plain,NA,,,"Parks, Playgrounds & Athletic Fields",,BPS,N,X,,BPS,0,0,20354.82373,590.5963733,NA,INFO_Reallocation From Dept,3
2,14,Evergreen Cemetery,City of Boston,Ch114S7/A97,4,Allston-Brighton,20.77215033,2060 Commonwealth Ave.,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X, ,,0,0,904850.9558,4005.023241,NA,PARK_Cemetery Maintenance Request,2
2,21,Foster Street Hill,Private, ,6,Allston-Brighton,3.40605727, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,NULL, ,N,N, ,,0,0,180392.1904,2182.592229,NA,INFO_Reallocation From Dept,2
2,62,Pemberton Square II,City of Boston, ,1,Central Boston,1.06216494, ,Open Space District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,46268.71875,1543.077362,NA,INFO_Reallocation From Dept,2
2,82,Doherty Playground,City of Boston,A97/USH,3,Charlestown,3.02175616,349 Bunker Hill Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,163447.6875,1672.622076,NA,PARK_Maintenance_Region 1,2
2,104,Eagle Hill Memorial Park Garden,BNAN,Land Trust,5,East Boston,0.15315481, ,Residential District,Community Gardens,NULL, ,N, , ,,0,0,6671.54248,326.935205,NA,PARK_Maintenance_Ground Maintenance,2
2,118,Georges Island,Commonwealth of Massachusetts,A97/Ch91/WPA,2,Harbor Islands,40.45201012, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,1762120.89,5702.876008,NA,INFO_Reallocation From Dept,2
2,136,Sherrin Woods I,City of Boston,A97,6,Hyde Park,23.81339751, ,Residential District,Urban Wilds & Natural Areas,BCC,BPRD,X,X, ,,0,0,1043137.413,5549.270605,NA,PARK_Maintenance_Ground Maintenance,2
2,146,Jeremiah Hurley Memorial Park,City of Boston,A97,1,Hyde Park,0.07,0 (Zero) Wolcott Square,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Wolcott Square,BPRD,0,0,3178.469727,251.5825715,NA,PARK_Maintenance_Ground Maintenance,2
2,157,Paul Gore/Beecher Street Garden,BNAN,Land Trust,5,Jamaica Plain,0.50768117, ,Open Space District,Community Gardens,NULL, ,N, , ,,0,0,22114.98535,630.8370748,NA,PARK_Maintenance_Ground Maintenance,2
2,176,Gladeside I,City of Boston,A97/WPA,6,Mattapan,10.3057581, ,Open Space District,Urban Wilds & Natural Areas,BCC,BPRD,X,X, ,,0,0,448208.8682,3495.07022,NA,PARK_Maintenance_Ground Maintenance,2
2,215,Cedar Square,City of Boston,A97,3,Roxbury,0.62313931,Opposite 20 Cedar Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,0,0,26816.5144,653.3418109,NA,PARK_Maintenance_Region 5,2
2,218,Margaret Wright Memorial Garden,Community Group/Nonprofit,Land Trust,5,Roxbury,0.13337245, ,Residential District,Community Gardens,NULL, ,N, , ,,0,0,5809.807617,306.0675891,NA,PARK_Maintenance_Ground Maintenance,2
2,258,Walsh Playground,City of Boston,A97,3,Dorchester,6.94564498,Opposite 31 Clancy Road,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,302557.6758,2368.69031,NA,PARK_Maintenance_Region 2,2
2,264,Nightingale Garden,BNAN,Land Trust,5,Dorchester,1.37139983, ,Residential District,Community Gardens,NULL, ,N, , ,,0,0,59739.2395,1123.254903,NA,PARK_Maintenance_Ground Maintenance,2
2,324,Mount Lebanon Cemetery,Private, ,4,West Roxbury,48.5943994, ,Open Space District,Cemeteries & Burying Grounds,NULL, ,N, , ,,0,0,2121996.862,15947.64842,NA,INFO_Reallocation From Dept,2
2,331,Sawmill Brook/Brook Farm,Commonwealth of Massachusetts,A97/NRHP/WPA,2,West Roxbury,146.6370426, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,6509298.093,18133.71072,NA,INFO_Reallocation From Dept,2
2,353,Ramler Park,City of Boston,A97,3,Fenway/Kenmore,0.51,124 Peterborough Str.,Institutional District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Dorothy and David Ramler Park,,0,0,22040.09814,604.725552,NA,PARK_Maintenance_Region 3,2
2,372,Grain Exchange Plaza,City of Boston, ,1,Central Boston,0.05182403, ,Special District,"Malls, Squares & Plazas",NULL, ,N,X, ,PWD,0,0,2257.495361,274.0368166,NA,INFO_Reallocation From Dept,2
2,383,Caldwell Street Play Area,City of Boston,A97,3,Charlestown,0.11285785,Adjacent to 13 Caldwell,Industrial District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,5554.737549,305.96673,NA,PARK_Maintenance_Region 1,2
2,400,Mother Brook I,Private, ,6,Hyde Park,0.37013097, ,Residential District,Urban Wilds & Natural Areas,NULL, ,N, , ,,0,0,16123.19287,1888.081025,NA,PARK_Maintenance_Ground Maintenance,2
2,495,Rivermoor III,City of Boston,A97,6,West Roxbury,0.50413773, ,Open Space District,Urban Wilds & Natural Areas,BCC,BPRD,X,X,202 Rivermoor St,,0,0,22611.12354,661.246355,NA,PARK_Maintenance_Ground Maintenance,2
2,497,Meetinghouse Hill Churchyard,Private, ,1,Dorchester,0.80745493, ,Residential District,"Malls, Squares & Plazas",NULL, ,N, ,First Church Yard,,0,0,35173.36255,1208.277053,NA,INFO_Reallocation From Dept,2
2,500,McCormack School Ball Field,City of Boston, ,3,Dorchester,1.4, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,X, ,,0,0,61100.22607,985.1436979,NA,INFO_Reallocation From Dept,2
2,512,Fenelon Street Playground,City of Boston,A97,3,Roxbury,0.19, ,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,8380.896729,388.4835608,NA,PARK_Maintenance_Ground Maintenance,2
2,596,East Boston Social Centers Playlot,Private, ,3,East Boston,0.33, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , ,,0,0,14764.42358,486.4957283,NA,INFO_Reallocation From Dept,2
2,628,Washburn Street Green I,City of Boston,<Null>,1,South Boston,0.13,Across from 8 Washburn St,Open Space District,"Malls, Squares & Plazas",NULL,PWD,N,X,<Null>,PWD,0,0,5657.51123,535.6409369,NA,INFO_Reallocation From Dept,2
2,668,Sherrin Woods II,Private, ,6,Hyde Park,1.11,145 Dale Street,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,NULL, ,N, , ,,0,0,48191.00269,1366.488582,NA,INFO_Reallocation From Dept,2
2,680,The Food Project Lot #1B,Private, ,5,Roxbury,0.19, ,Residential District,Community Gardens,NULL, ,N, , ,,0,0,8247.168457,672.5962069,NA,INFO_Reallocation From Dept,2
2,746,Sweeney Playground,City of Boston,A97,3,South Boston,0.47965763,180 West Fifth Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,20139.78979,606.8185187,NA,PARK_Maintenance_Region 6,2
2,748,Lambert Avenue Playground,City of Boston,A97,3,Roxbury,0.66,Opposite 52 Lambert Ave.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,28837.8103,686.6335271,NA,PARK_Maintenance_Region 5,2
2,768,Rink Grounds,Commonwealth of Massachusetts,A97,3,Charlestown,0.73, ,Open Space District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, ,,0,0,31985.92603,1995.257454,NA,INFO_Reallocation From Dept,2
2,782,St. Augustine Burying Ground,Private,,4,South Boston,0.91,"Dorchester Ave, Tudor St, F St, ",Residential District,Cemeteries & Burying Grounds,Private,Private,N,N,,Private,0,0,39774.46851,1212.764555,NA,INFO_Reallocation From Dept,2
2,946,Higginson Schoolyard,City of Boston,,3,Roxbury,0.34619095, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,X, ,,0,0,18216.27515,557.0745982,NA,INFO_Reallocation From Dept,2
2,959,Commercial Point,Commonwealth of Massachusetts,LWCF/97/WPA/91,2,Dorchester,2.38, ,Special District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,Dorchester Shores Reservation,DCR,0,0,103732.6445,2049.230582,NA,INFO_Reallocation From Dept,2
2,964,Porzio Park II,City of Boston,,3,East Boston,0.14,,,"Parks, Playgrounds & Athletic Fields",,,N,X,,DND,0,0,6206.199219,451.1997654,NA,PARK_Maintenance_Region 1,2
2,982,Paul Gore Street Park,City of Boston,A97,3,Jamaica Plain,0.73,60 Paul Gore Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Paul Gore Street Garden;  Paul Gore Street Playground,BPRD,0,0,31971.41382,779.0912414,NA,PARK_Maintenance_Ground Maintenance,2
2,1001,South St BHA Community Garden,City of Boston,,5,Jamaica Plain,0.21,,Residential District,Community Garden,,,N,,,BHA,0,0,9199.253662,545.1659875,NA,INFO_Reallocation From Dept,2
2,1405,Blue Hill Club Recreation Center,City of Boston,A97,3,Dorchester,3.04,15 Talbot Street,Open Space District,"Parks, Playgrounds & Athletic Fields",White Fund,Private,X,X,Berkshire Partners Blue Hill Club (Boys & Girls Club),Trust Office,0,0,132501.7629,1527.323666,NA,INFO_Reallocation From Dept,2
1,1,Wilson Park,City of Boston, ,1,Allston-Brighton,0.09717567,Off 1686 Commonwealth Ave.,Open Space District,"Malls, Squares & Plazas",NULL, ,N,X, ,BPWD,0,0,4233.046875,256.7300082,NA,PARK_Maintenance_Region 4,1
1,57,Cutillo Park,City of Boston,A97,3,Central Boston,0.28491861,Opposite 15 Stillman Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,12603.56885,505.5613495,NA,PARK_Maintenance_Region 1,1
1,128,Thompson Island,Private,A97/CR,2,Harbor Islands,169.8727319,"Boston Harbor, west of Harbor Point, Dorchester",Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR/NPS,Private,X,L, ,,0,0,7399787.758,15923.2919,NA,INFO_Reallocation From Dept,1
1,140,West Street,City of Boston,A97,6,Hyde Park,2.53280629, ,Industrial District,Urban Wilds & Natural Areas,BCC,BPRD,X,X, ,,0,0,109132.3513,1403.209273,NA,PARK_Maintenance_Ground Maintenance,1
1,141,Dell Rock I,City of Boston,A97,6,Hyde Park,1.3, ,Residential District,Urban Wilds & Natural Areas,BPRD, ,X,X, ,,0,0,56817.29688,1085.065951,NA,PARK_Maintenance_Ground Maintenance,1
1,160,Murphy Playground,City of Boston,,3,Jamaica Plain,2.59767464,20 Child Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",NULL,BPRD,N,X, ,BPS,0,0,110805.9307,1666.946957,NA,PARK_Maintenance_Region 3,1
1,183,Lucerne/Balsam Street Garden,BNAN,Land Trust,5,Mattapan,0.22551695, ,Open Space District,Community Gardens,NULL, ,N, , ,,0,0,9823.693604,396.3476369,NA,PARK_Maintenance_Ground Maintenance,1
1,190,Parkman Playground,City of Boston,A97,3,Roslindale,2.06809445,58 Wachusett Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,90087.79614,1277.674777,NA,PARK_Maintenance_Region 4,1
1,204,Rockledge Street Urban Wild,City of Boston,A97,6,Roxbury,0.53148566, ,Open Space District,Urban Wilds & Natural Areas,BCC,BPRD,X,X, ,BCC,0,0,22372.56201,725.3298247,NA,PARK_Maintenance_Ground Maintenance,1
1,246,Buckley Playground,City of Boston,A97,3,South Boston,0.65561916,Opposite 209 West Third Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,28291.42383,766.8802101,NA,PARK_Maintenance_Region 6,1
1,262,Toohig Playground,Commonwealth of Massachusetts,A97,3,Dorchester,2.12423446, ,Residential District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, ,,0,0,92533.2981,1568.732488,NA,INFO_Reallocation From Dept,1
1,275,Keystone Shoreline,Private, ,6,Dorchester,0.52357348, ,Special District,Urban Wilds & Natural Areas,NULL, ,N, , ,,0,0,22807.2666,969.0387871,NA,INFO_Reallocation From Dept,1
1,286,Barry Street Garden,Community Group/Nonprofit,Land Trust,5,Dorchester,0.09218628, ,Residential District,Community Gardens,Boston Urban Gardeners, ,N, , ,,0,0,4015.706055,260.809962,NA,PARK_Maintenance_Ground Maintenance,1
1,294,Ringgold Park,City of Boston,A97,3,South End,0.38043644,10 Ringgold Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,"Hanson St. Play Area, Ringgold St. Play Area", ,0,0,19405.79834,603.7360209,NA,PARK_Maintenance_Region 6,1
